fpath,fname,labelname,xmin,ymin,xmax,ymax
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000017.xml,image_sequence000017,stopsign,607,606,631,629
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000019.xml,image_sequence000019,stopsign,665,603,695,629
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000020.xml,image_sequence000020,stopsign,693,593,726,626
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000021.xml,image_sequence000021,stopsign,721,584,761,619
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000022.xml,image_sequence000022,stopsign,748,579,787,621
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000023.xml,image_sequence000023,stopsign,782,559,827,601
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000024.xml,image_sequence000024,stopsign,821,545,867,592
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000025.xml,image_sequence000025,stopsign,863,540,918,587
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000026.xml,image_sequence000026,stopsign,916,500,977,567
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000027.xml,image_sequence000027,stopsign,981,480,1049,543
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000028.xml,image_sequence000028,stopsign,1062,439,1143,523
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000029.xml,image_sequence000029,stopsign,1165,408,1268,507
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000030.xml,image_sequence000030,stopsign,1298,350,1416,473
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000031.xml,image_sequence000031,stopsign,1470,255,1619,418
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000032.xml,image_sequence000032,stopsign,1707,145,1915,367
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000105.xml,image_sequence000105,stopsignahead,911,569,953,615
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000106.xml,image_sequence000106,stopsignahead,937,542,990,592
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000107.xml,image_sequence000107,stopsignahead,954,524,1012,577
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000108.xml,image_sequence000108,stopsignahead,999,508,1062,565
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000109.xml,image_sequence000109,stopsignahead,1052,484,1137,562
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000110.xml,image_sequence000110,stopsignahead,1144,459,1249,552
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000111.xml,image_sequence000111,stopsignahead,1311,387,1446,533
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000112.xml,image_sequence000112,stopsignahead,1588,275,1802,470
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000126.xml,image_sequence000126,stopsign,843,539,876,566
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000127.xml,image_sequence000127,stopsign,853,530,887,560
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000128.xml,image_sequence000128,stopsign,865,531,898,561
/Users/chitrangtalaviya/Desktop/Images_traffic/video2/image_sequence000129.xml,image_sequence000129,stopsign,881,513,921,550
